code,name,scie,regn,water,water_e,protcnt,protcnt_e,ash,ash_e,fatce,fatce_e,fibtg,fibtg_e,fibins,fibins_e,fibsol,fibsol_e,choavldf,choavldf_e,enerc,enerc_e,dhbenzac34,dhbenzac34_e,hbenzal3,hbenzal3_e,pcathac,pcathac_e,vanlac,vanlac_e,gallac,gallac_e,cinmac,cinmac_e,coumaco,coumaco_e,coumacp,coumacp_e,caffac,caffac_e,chlrac,chlrac_e,ferac,ferac_e,apigen,apigen_e,apigen6cgls,apigen6cgls_e,apigen7onshps,apigen7onshps_e,luteol,luteol_e,kaemf,kaemf_e,querce,querce_e,querce3bdgls,querce3bdgls_e,querce3ortns,querce3ortns_e,querce3bgls,querce3bgls_e,isormt,isormt_e,myrct,myrct_e,rsvrtol,rsvrtol_e,hespt,hespt_e,narng,narng_e,hespd,hespd_e,daidzn,daidzn_e,gnstein,gnstein_e,epicatec,epicatec_e,epicategc,epicategc_e,epicatgc3gal,epicatgc3gal_e,catec,catec_e,galcatecgal,galcatecgal_e,galcatec,galcatec_e,syrgac,syrgac_e,sinpac,sinpac_e,ellgac,ellgac_e,polyph,polyph_e,rafs,rafs_e,stas,stas_e,vers,vers_e,ajgs,ajgs_e,camt,camt_e,stgstr,stgstr_e,stostrb,stostrb_e,phytac,phytac_e,sapon,sapon_e,f4d0,f4d0_e,f6d0,f6d0_e,f8d0,f8d0_e,f10d0,f10d0_e,f12d0,f12d0_e,f14d0,f14d0_e,f16d0,f16d0_e,f18d0,f18d0_e,f20d0,f20d0_e,f22d0,f22d0_e,f24d0,f24d0_e,f14d1cn5,f14d1cn5_e,f16d1cn7,f16d1cn7_e,f18d1tn9,f18d1tn9_e,f18d1cn9,f18d1cn9_e,f20d1cn9,f20d1cn9_e,f22d1cn9,f22d1cn9_e,f18d2cn6,f18d2cn6_e,f18d3n3,f18d3n3_e,fasat,fasat_e,fams,fams_e,fapu,fapu_e,thia,thia_e,ribf,ribf_e,nia,nia_e,pantac,pantac_e,vitb6c,vitb6c_e,biot,biot_e,folsum,folsum_e,vitc,vitc_e,retol,retol_e,ergcal,ergcal_e,chocal,chocal_e,doh25,doh25_e,tocpha,tocpha_e,tocphb,tocphb_e,tocphg,tocphg_e,tocphd,tocphd_e,toctra,toctra_e,toctrb,toctrb_e,toctrg,toctrg_e,toctrd,toctrd_e,vite,vite_e,vitk1,vitk1_e,vitk2,vitk2_e,lutn,lutn_e,zea,zea_e,lycpn,lycpn_e,crypxb,crypxb_e,cartg,cartg_e,carta,carta_e,cartb,cartb_e,cartoid,cartoid_e,al,al_e,as,as_e,cd,cd_e,ca,ca_e,cr,cr_e,co,co_e,cu,cu_e,fe,fe_e,pb,pb_e,li,li_e,mg,mg_e,mn,mn_e,hg,hg_e,mo,mo_e,ni,ni_e,p,p_e,k,k_e,se,se_e,na,na_e,zn,zn_e,cho,cho_e,starch,starch_e,frus,frus_e,glus,glus_e,sucs,sucs_e,mals,mals_e,fsugar,fsugar_e,lactose,lactose_e,f24d1cn9,f24d1cn9_e,f20d2n6,f20d2n6_e,f20d4n6,f20d4n6_e,f11d0,f11d0_e,f15d0,f15d0_e,f20d3n6,f20d3n6_e,f20d5n3,f20d5n3_e,f22d6n3,f22d6n3_e,cholc,cholc_e,f22d2n6,f22d2n6_e,f22d5n3,f22d5n3_e,ala,ala_e,arg,arg_e,asp,asp_e,glu,glu_e,gly,gly_e,pro,pro_e,ser,ser_e,tyr,tyr_e,his,his_e,ile,ile_e,leu,leu_e,lys,lys_e,met,met_e,cys,cys_e,phe,phe_e,thr,thr_e,trp,trp_e,val,val_e,oxalt,oxalt_e,oxals,oxals_e,oxali,oxali_e,caconac,caconac_e,citac,citac_e,fumac,fumac_e,malac,malac_e,quinac,quinac_e,sucac,sucac_e,tarac,tarac_e
A001,"Amaranth seed, black",Amaranthus cruentus,1,9.89,0,14.59,0,2.78,0,5.74,0,7.02,0,5.76,0,1.26,0,59.98,0,1490,0,1.28,0,0,0,0.21,0,0.06,0,0,0,0,0,0,0,0.06,0,0.03,0,0.21,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,1.75,0,8.24,0,61.36,0,393,0,1.42,0,0,0,0,0,0,0,0,0,0,0,15.64,0,1043,0,155,0,38,0,16.07,0,12.14,0,0,0,0,0,0,0,1020,0,12.62,0,0,0,2259,0,20.91,0,1280,0,1033,0,2279,0,0.04,0,0.04,0,0.45,0,0.24,0,0.5,0,1.92,0,27.44,0,0,0,0,0,58.67,0,0,0,0,0,0.05,0,0.28,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.17,0,1.8,0,0,0,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,3.32,0,0,0,0,0,181,0,1.227,0,0.059,0,0.81,0,9.33,0,0.013,0,0.028,0,325,0,5.29,0,0,0,0.016,0,0.345,0,374,0,433,0,16.46,0,2.7,0,2.66,0,56.71,0,55.83,0,0.1,0,0.22,0,0.46,0,0.1,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,7.77,0,12.57,0,16.12,0,8.5,0,3.76,0,7.79,0,2.85,0,1.86,0,2.82,0,4.83,0,5.45,0,1.86,0,1.6,0,3.98,0,3.02,0,1.5,0,4.34,0,226,0,37.43,0,188,0,0,0,8.64,0,0.15,0,45.78,0,75.53,0,1.47,0,0,0
A002,"Amaranth seed, pale brown",Amaranthus cruentus,6,9.2,0.4,13.27,0.34,3.05,0.3,5.56,0.33,7.47,0.09,5.8,0.17,1.67,0.21,61.46,0.6,1489,10,1.23,0.05,0,0,0.26,0.03,0.04,0.02,0,0,0,0,0,0,0.04,0.03,0.03,0.02,0.1,0.05,0.59,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,2.48,0,0,0,0,0,0,0,0,1.58,0.15,8.51,0.37,60.15,1.49,341,13.9,1.28,0.21,0,0,0,0,0,0,0,0,0,0,10.68,1.35,891,54.5,172,14.1,36.02,2.68,15.61,1.31,13.51,2.06,0,0,0,0,0,0,1030,64.3,12.71,1.56,0,0,2223,129,43.03,2.7,1140,70.5,1043,65.8,2266,132,0.04,0.007,0.04,0.007,0.52,0.05,0.28,0.03,0.33,0.023,1.87,0.24,24.65,3.21,0,0,0,0,53.98,3.38,0,0,0,0,0.06,0,0.22,0.1,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.15,0.03,2.5,0.87,0,0,4.11,1.16,0,0,0,0,0,0,0,0,0,0,0,0,59.68,3.09,2.73,0.47,0,0,0.001,0,162,15.7,0.092,0.045,0.021,0.005,0.56,0.09,8.02,0.93,0.018,0.012,0.008,0.008,270,33.2,4.44,0.27,0,0,0.049,0.014,0.048,0.017,412,22,413,45.9,21.41,6.15,2.81,0.22,2.52,0.2,60.13,1.3,59.33,1.31,0.1,0.01,0.22,0.04,0.48,0.04,0,0,0.8,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0.64,7.21,0.91,12.7,2.25,17.39,1.68,8.28,0.35,3.83,0.45,7.27,0.46,3.1,0.34,1.98,0.5,2.85,0.04,4.94,0.17,5.5,0.35,1.95,0.12,1.51,0.15,4.75,0.41,2.99,0.21,1.69,0.1,4.3,0.27,209,49.7,32.3,1.46,177,49.8,0.14,0.02,7.93,0.45,0.14,0.02,47.16,1.64,75.06,0.57,1.89,0.13,0,0
A003,Bajra,Pennisetum typhoideum,6,8.97,0.6,10.96,0.26,1.37,0.17,5.43,0.64,11.49,0.62,9.14,0.58,2.34,0.42,61.78,0.85,1456,18,0.03,0.01,0.11,0.02,0,0,0,0,0,0,0,0,0,0,0.07,0.02,0.25,0.01,0.08,0.01,1.39,0.24,0,0,0,0,0,0,1.11,0.38,0.14,0.02,0,0,0,0,0,0,0,0,0.3,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.71,5.89,0.08,0.039,0.01,0.004,0,0,0,0,15.84,1.36,4.97,0.25,75.87,2.25,485,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,21.3,128,19.6,18.21,2.78,0,0,0,0,0,0,6.97,0.45,0,0,1040,39.8,0,0,0,0,1844,56.7,140,5.8,875,34.5,1047,39.9,1984,55,0.25,0.044,0.2,0.038,0.86,0.1,0.5,0.05,0.27,0.009,0.64,0.05,36.11,5.05,0,0,0,0,5.65,0.27,0,0,0,0,0.1,0.01,0,0,1.42,0.2,0,0,0,0,0,0,0,0,0,0,0.24,0.02,2.85,0.63,0,0,29.69,8.72,9.3,1.23,0,0,0,0,0,0,0,0,28.23,9.42,293,55.7,2.21,0.78,0.97,0.24,0.003,0.001,27.35,2.16,0.025,0.006,0.03,0.015,0.54,0.11,6.42,1.04,0.008,0.002,0.003,0.001,124,19.5,1.12,0.17,0.77,1.48,0.05,0.025,0.056,0.022,289,25.3,365,18,30.4,5.22,4.11,0.09,2.76,0.36,56.02,2.57,55.21,2.57,0.21,0.01,0.6,0.02,0,0,0,0,0.81,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,1.01,4.54,0.62,7.77,1.29,17.42,1.69,3.52,0.17,5.3,0.26,4.44,0.41,2.67,0.51,2.15,0.37,3.45,0.74,8.52,0.86,3.19,0.49,2.11,0.5,1.23,0.33,4.82,1.18,3.55,0.4,1.33,0.3,4.79,1.04,53.13,5.34,43.49,3.9,9.88,8.36,0.08,0.03,0,0,1.99,0.59,0.86,0.21,0,0,0.02,0.01,0,0
A004,Barley,Hordeum vulgare,6,9.77,0.38,10.94,0.51,1.06,0.22,1.3,0.2,15.64,0.64,9.98,0.62,5.66,0.68,61.29,0.77,1321,19,0,0,0,0,0.43,0.14,0.06,0.01,0,0,0,0,0,0,1.7,0.11,0.05,0.01,2.75,0.25,0.6,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0.05,0,0,0,0,0,0,0,0,0,0,23.47,2.3,0.06,0.013,0.01,0.002,0,0,0,0,6.16,0.03,1.17,0.1,42.83,0.84,386,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,9.4,23.35,2.74,0,0,0,0,0,0,0,0,0,0,0,0,90.79,5.63,0,0,0,0,549,21.6,26.32,3.35,232,11.9,90.79,5.63,575,18.6,0.36,0.059,0.18,0.03,2.84,0.08,0.14,0.02,0.31,0.026,2.38,0.11,31.58,3.79,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1.85,0.79,0,0,5.39,2.77,1.9,0.35,0,0,0,0,0,0,0,0,0,0,69.87,28.88,0,0,0,0,0,0,28.64,3.49,0.029,0.009,0.027,0.01,0.43,0.17,1.56,0.15,0,0,0,0,48.97,6.1,1.24,0.11,1.84,0.5,0.032,0.005,0,0,178,26.8,268,20.4,18.61,1.32,7.56,1.52,1.5,0.27,72.73,2.93,72.67,2.92,0,0,0.06,0.02,0,0,0,0,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.79,5.22,0.2,6.51,0.61,26.75,1.15,4.03,0.61,9.79,0.87,4.8,0.55,2.68,0.41,2.13,0.23,3.63,0.4,6.49,0.41,3.42,0.19,1.86,0.04,2.2,0.27,4.88,0.44,3.3,0.14,1.28,0.07,4.78,0.49,10.98,1.31,8.73,0.54,2.04,0.61,1.43,0.27,0,0,0,0,0.9,0.48,0.52,0.09,0.17,0.06,3.24,1.27
A005,Jowar,Sorghum vulgare,6,9.01,0.77,9.97,0.43,1.39,0.34,1.73,0.31,10.22,0.49,8.49,0.4,1.73,0.4,67.68,1.03,1398,13,0.02,0.01,0.02,0.01,0.07,0.01,1.76,0.11,0.06,0.02,0,0,0,0,1.84,0.46,1.69,0.39,4.04,0.99,1.59,0.23,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,2,0.02,0.005,0.01,0.004,0,0,0,0,21.59,0.72,5.31,0.18,38.27,1.04,549,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,5.6,14.22,0.79,0,0,0,0,0,0,0,0,0,0,0,0,314,13.7,0,0,0,0,508,18.3,16.54,1.31,163,6.2,314,13.7,524,18.3,0.35,0.039,0.14,0.014,2.1,0.09,0.27,0.02,0.28,0.023,0.7,0.06,39.42,3.13,0,0,0,0,3.96,0.3,0,0,0,0,0.04,0.01,0,0,0.27,0.03,0,0,0,0,0,0,0,0,0,0,0.06,0.01,43.82,4.84,0,0,9.08,1.77,7.48,2.41,0,0,0,0,0,0,0,0,8.29,1.3,212,48.9,2.56,0.59,1.53,0.04,0.002,0.002,27.6,3.71,0.01,0.003,0.012,0.007,0.45,0.11,3.95,0.94,0.008,0.003,0.001,0.001,133,14.8,1.19,0.11,2.62,2.15,0.042,0.021,0.059,0.021,274,35.7,328,25.1,26.29,11.08,5.42,0.21,1.96,0.31,60.96,1.7,59.7,1.7,0.57,0.07,0.1,0.01,0.6,0.04,0,0,1.27,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,1.12,3.96,0.43,7.09,0.86,21.54,2.81,3.08,0.25,6.99,0.92,4.02,0.43,3.61,0.25,2.07,0.2,3.45,0.63,12.03,1.51,2.31,0.4,1.52,0.5,1.06,0.3,5.1,0.5,2.96,0.17,1.03,0.21,4.51,0.71,28.38,2.65,24.62,4.49,1.72,0.46,0,0,0,0,1.84,0.79,0.51,0.24,0,0,3.88,1.22,0,0
A006,"Maize, dry",Zea mays,6,9.26,0.55,8.8,0.49,1.17,0.16,3.77,0.48,12.24,0.93,11.29,0.85,0.94,0.18,64.77,1.58,1398,25,0.07,0.02,0,0,2.93,0.42,2.96,0.44,0,0,0,0,0,0,2.84,0.36,2.91,0.32,1.01,0.45,1.43,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.92,3.85,0,0,0,0,0,0,0,0,12.49,0.24,4.22,0.18,87.7,2.61,646,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,4.6,42.45,2.76,7.14,0.95,0,0,0,0,0,0,0,0,0,0,700,17.9,6.62,0.74,0,0,1565,18.2,40.76,2.43,413,5.6,706,17.4,1606,18.5,0.33,0.032,0.09,0.009,2.69,0.06,0.34,0.03,0.34,0.017,0.49,0.05,25.81,1.44,0,0,0,0,33.6,2.82,0,0,0,0,0.21,0.04,0,0,1.29,0.17,0.38,0.05,0.05,0,0,0,0,0,0,0,0.36,0.03,2.5,0.76,0,0,186,19.4,42.4,15.7,0,0,110,10.1,0,0,0,0,186,19.2,893,154,2.82,0.16,0,0,0,0,8.91,0.61,0.01,0.006,0.01,0.003,0.45,0.23,2.49,0.32,0,0,0.002,0.001,145,12.4,0.71,0.08,3.19,2.64,0.035,0.014,0.035,0.013,279,35.3,291,27.7,8.69,1.81,4.44,0.18,2.27,0.23,61.01,0.76,59.35,0.83,0.16,0.03,0.8,0.01,0.7,0.03,0,0,1.66,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73,0.46,4.2,0.24,6.55,0.59,19.39,0.7,3.27,0.15,7.88,0.71,4.58,0.44,3.71,0.18,2.7,0.21,3.67,0.22,12.24,0.57,2.64,0.18,2.1,0.17,1.55,0.14,5.14,0.29,3.23,0.29,0.57,0.12,5.41,0.71,15.26,1.78,14.19,1.3,2.73,1.34,0,0,0,0,0.66,0.2,0.93,0.5,0.84,0.07,1.5,0.23,0.94,0.05
A007,"Maize, tender, local",Zea mays,6,68.29,0.52,3.57,0.42,0.38,0.04,1.4,0.3,3.67,0.26,3.23,0.23,0.43,0.07,22.69,0.94,502,7,0.04,0.03,0,0,1.24,0.14,2.85,0.43,0,0,0,0,0,0,0.55,0.09,0.55,0.27,0.92,0.04,0.38,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2.52,0,0,0,0,0,0,0,0,5.78,0.14,2.91,0.05,43.81,0.99,148,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.13,3.97,10.88,1.55,2.37,0.63,0,0,0,0,0,0,0,0,0,0,145,6.5,1.85,0.61,0,0,337,4.9,10.46,0.74,109,4.4,147,6.8,347,5.2,0.17,0.024,0.12,0.021,1.13,0.02,0.35,0.04,0.45,0.033,1.7,0.27,62.96,5.66,4.26,0.55,0,0,42.34,4.28,0,0,0,0,0.05,0.01,0,0,0.4,0.03,0.03,0.01,0,0,0,0,0,0,0,0,0.09,0.01,2,0.13,0,0,110,28.1,26.53,3.59,0,0,37.26,4.6,0,0,0,0,36.27,11.33,1428,225,0.12,0.05,0,0,0,0,6.35,0.89,0.004,0.003,0,0,0.18,0.06,0.71,0.06,0.001,0,0,0,47.62,5.32,0.36,0.07,0,0,0.009,0.009,0.016,0.007,163,25.7,167,36.8,3.83,2.28,2.24,0.07,0.97,0.14,17.35,2.78,15.88,2.8,0.27,0.03,0.8,0.06,0.4,0.04,0,0,1.47,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,5.07,3.05,0.42,9.24,1.45,20.05,2.14,4.5,2.09,7.91,0.97,6.07,0.91,3.15,0.37,2.15,0.47,3.55,0.21,10.09,1.65,2.02,0.39,1.67,0.06,1.18,0.32,3.95,1.15,2.97,0.42,0.58,0.07,3.54,0.37,5.2,1.09,3.98,0.66,0.92,0.15,0.29,0.07,0,0,0.46,0.19,0.73,0.48,1.83,0.58,1.22,0.1,4.35,0.72
A008,"Maize, tender, sweet",Zea mays,4,74.4,0.71,4.16,0.41,0.36,0.06,1.35,0.07,3.3,0.51,2.71,0.53,0.59,0.11,16.42,0.89,405,14,0.03,0.01,0,0,1.09,0.19,1.43,0.16,0,0,0,0,0,0,0.5,0.05,0.51,0.27,0.87,0.02,1.39,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0.34,0,0,0,0,0,0,0,0,5.63,0.06,2.63,0.06,41.71,0.52,221,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2.4,14.36,0.59,2.95,0.08,0,0,0,0,0,0,0,0,0,0,174,6.1,2.05,0.22,0,0,292,10.3,7.65,0.33,123,2.9,176,6.3,300,10.3,0.1,0.008,0.14,0.007,1.14,0.02,0.32,0.04,0.38,0.084,1.91,0.3,59.71,7.7,5.72,0.76,0,0,16.94,2.13,0,0,0,0,0.07,0,0,0,0.3,0.06,0.03,0.01,0,0,0,0,0,0,0,0,0.1,0.01,1.8,0.32,0,0,108,25,28.19,4.22,0,0,58.41,4.6,0,0,0,0,47.01,6.23,1035,154,0.11,0.02,0,0,0,0,6.37,1.07,0.002,0.001,0.001,0,0.11,0.02,0.54,0.07,0,0,0,0,36.51,1.87,0.32,0.04,0,0,0.006,0.001,0.009,0.004,121,13.6,297,4.1,2.17,1.11,2.23,0.06,0.77,0.09,12.11,0.64,7.45,0.68,0.91,0.04,0.97,0.02,2.79,0.03,0,0,4.67,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0.2,3.63,0.21,8.55,1.21,18.72,1.81,4.65,0.37,8.6,0.11,5.62,0.12,3.26,0.22,2.16,0.18,3.45,0.08,10.61,0.71,2.06,0.17,1.76,0.09,1.36,0.15,3.05,0.21,2.88,0.53,0.7,0.05,3.88,0.29,1.67,0.15,1.45,0.08,0.34,0.12,0.26,0.01,0,0,0.78,0.07,0.64,0.15,4.56,0.78,1.9,0.53,2.24,0.43
A009,Quinoa,Chenopodium quinoa,1,10.43,0,13.11,0,2.65,0,5.5,0,14.66,0,10.21,0,4.46,0,53.65,0,1374,0,6.7,0,0.44,0,9.7,0,4.9,0,0,0,0.11,0,0.02,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.13,0,0.19,0,3.6,0,1.9,0,3.4,0,4.4,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,74,0,0,0,0,0,0,0,0,0,0.91,0,1.89,0,46.1,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,82.76,0,434,0,52.88,0,0,0,0,0,0,0,44.41,0,56.79,0,0,0,1323,0,0,0,0,0,2203,0,204,0,570,0,1424,0,2406,0,0.83,0,0.22,0,1.7,0,0.62,0,0.21,0,0.62,0,173,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0.06,0,2.85,0,0,0,0,0,0,0,0,0,0,0,2.08,0,2,0,0,0,11.88,0,10.05,0,0,0,0,0,0,0,0,0,5.12,0,153,0,0,0,0.03,0,0.002,0,198,0,0.004,0,0,0,0.48,0,7.51,0,0,0,0,0,119,0,1.77,0,0,0,0,0,0.004,0,212,0,474,0,7.81,0,4.5,0,3.31,0,49.82,0,48.41,0,0,0,1.41,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,7.85,0,8.4,0,13.75,0,4.8,0,5.67,0,4.56,0,1.98,0,2.98,0,3.75,0,6.08,0,5.55,0,2.24,0,1.85,0,4.35,0,3.01,0,1.25,0,4.55,0,82.94,0,42.22,0,40.72,0,0,0,0,0,25.07,0,0.23,0,0,0,2.07,0,0,0
A010,Ragi,Eleusine coracana,5,10.89,0.61,7.16,0.63,2.04,0.34,1.92,0.14,11.18,1.14,9.51,0.65,1.67,0.55,66.82,0.73,1342,10,0,0,0,0,2.38,0.35,0.34,0.06,1.38,0.36,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0.49,0,0,10.45,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.52,0.9,0,0,0,0,0,0,0.28,0.02,0,0,135,2.2,0.02,0.006,0,0,0,0,0,0,5.67,0.15,2.55,0.03,57.36,1.8,306,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,15.4,27.86,2.43,0,0,0,0,0,0,0,0,0,0,0,0,585,36.3,0,0,0,0,362,15.3,68.58,11.85,317,17,585,36.3,431,20.7,0.37,0.041,0.17,0.008,1.34,0.02,0.29,0.19,0.05,0.007,0.88,0.05,34.66,4.97,0,0,0,0,41.46,3.12,0,0,0,0,0.09,0.01,0,0,0.66,0.06,0,0,0,0,0,0,0,0,0,0,0.16,0.01,3,0.44,0,0,25.53,5.82,1.45,0.23,0,0,0,0,0,0,0,0,1.53,0.25,154,25.6,3.64,0.69,0,0,0.004,0.004,364,58,0.032,0.019,0.022,0.009,0.67,0.22,4.62,0.36,0.005,0.002,0.003,0.003,146,10.7,3.19,0.88,3.96,1.41,0.011,0.008,0.078,0.02,210,58.4,443,59.6,15.3,6.23,4.75,0.14,2.53,0.51,62.47,1.24,62.13,1.31,0,0,0.25,0.06,0.12,0.02,0,0,0.34,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0.8,4.33,0.48,6.4,0.53,20.22,0.73,3.59,0.35,5.42,0.42,4.81,0.57,3.37,0.8,2.37,0.46,3.7,0.44,8.86,0.54,2.83,0.34,2.74,0.27,1.48,0.23,5.7,1.27,3.84,0.45,0.91,0.3,5.65,0.44,39.58,6.47,31.16,3.05,8.58,1.55,0,0,0,0,0.2,0.06,0.75,0.35,0,0,1.89,0.56,1.6,0.26
