Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients
Soya flour Gobi stuffed paratha,1,"North,West","Breakfast,Lunch,Dinner",Veg,soy ,2 medium,393,235,16,24,7,8,0.3945,Cauliflower-15 gms; Onion-15 gms;  Ginger-4 gms; Cumin seeds-4 gms; chillies-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Garam Masala-15 gms; Common salt-15 gms; Soya flour-250 gms; Atta-30 gms
DUMPLINGS (Veg),0,East,"Appetizer,Snacks",Veg,soy ,4 medium,255,115,4,22,1,4,0.25955,carrot-15 gms; CABBAGE-15 gms; Capsicum-15 gms; mushroom-15 gms; Garlic-7 gms; Ginger-7 gms; soya sauce-15 gms; Gingelly oil-7 gms; Onion-15 gms; Atta-125 gms; Common salt-4 gms; Chili Sauce-15 gms
Baked Vegetables,0,Continental,Appetizer,Veg,soy ,4 small,83,17,0,1,1,0,0.1584,Cauliflower-20 gms; carrot-20 gms;Capsicum-20 gms;Black Pepper-4 gms; Common salt-4 gms; Olive oil-15 gms
LETTUCE WRAP (Chicken),0,Continental,"Lunch,Dinner",Non-veg,soy ,1 medium,369,214,20,10,9,4,0.69985,Lettuce Leaf-20 gms; Chicken-70 gms; Tomato-120 gms; Cucumber-62 gms; Onion-30 gms; Coriander leaves-15 gms;Mint leaves-15 gms; Lemon-15 gms; soya sauce-15 gms; Sesame oil-7 gms
Soya Sizzler,6,Continental,"Lunch,Dinner",Veg,soy ,1 medium,567,305,28,21,10,9,0.658,Soyabean-30 gms; Ginger-15 gms;Garlic-15 gms; Cooking oil-7 gms; Capsicum-60 gms; Mushroom-20 gms; Onion-20 gms; Zucchini-20 gms; Tomato-120 gms; Cabbage-200 gms; Common salt-15 gms; Red chilli Powder-15 gms; Ginger powder-15 gms; Black pepper-15 gms; 
Fried Rice,5,Continental,"Lunch,Dinner",Veg,soy ,1 small bowl,585,1123,31,203,18,22,1.33045,Rice-250 gms; Mustard oil-15 gms; Onion-77 gms; Capsicum-62 gms; carrot-62 gms; Peas-62 gms; Garlic-20 gms; soya sauce-7 gms; Common salt-15 gms; Black pepper-15 gms; 
Soy Milk,12,Continental,Beverages,Veg,soy ,1 cup,125,324,33,9,17,19,0,Soya bean-125 gms; 
Soya Bhurji,2,"North,East,West",Dry Curry,Veg,soy ,4 medium katori,335,138,14,10,4,4,0.5235,Turmeric powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Coriander Powder-15 gms; Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Olive oil-15 gms
Chicken sizzler,0,Continental,Appetizer,Non-veg,soy ,1 medium bowl,759,271,9,19,18,13,2.46825,Chicken-300 gms; Sunflower oil-15 gms; Garlic-15 gms;  Zucchini-125 gms; Mushroom-125 gms; carrot-125 gms; soya sauce-15 gms; VINEGAR-15 gms; Black pepper-24 gms
Rajma Chaat,11,"North,East,West",Snacks,Veg,soy ,1 medium katori,343,551,36,94,2,2,0.2965,RAJMA-250 gms; CUCUMBER-15 gms; Tomato-15 gms; Chillies-4 gms; Coriander leaves-15 gms; Lemon-7 gms; Common salt-7 gms; Chat Masala-15 gms; Cumin Powder-15 gms
Saute Tofu,0,Continental,Appetizer,Veg,soy ,1 medium katori,389,264,22,17,9,7,0.7545,Common salt-15 gms; Coriander leaves-15 gms; Tofu-150 gms; Red chilli Powder-15 gms;Onion-125 gms; Garlic-15 gms; Chillies-24 gms; Coriander Powder-15 gms; Turmeric powder-15 gms
CHILLI CHICKEN,6,East,Appetizer,Non-veg,soy ,1 medium katori,374,298,16,10,20,3,0.82375,Chicken-60 gms; soya sauce-15 gms; VINEGAR-7 gms; Ginger-15 gms;Garlic-15 gms; Chillies-7 gms; Onion-60 gms; Capsicum-150 gms;  Common salt-15 gms; Coriander leaves-15 gms; ; Olive oil-15 gms
Soya granules,2,"North,South,East,West",Dry Curry,Veg,soy ,3 small,315,331,21,42,9,19,0.465,Common salt-15 gms; Ginger-1 slice; Black pepper-7 gms; CURRY LEAVES-5 gms; CORIANDER-30 gms; Cooking oil-15 gms; Onion-60 gms; Ginger-7 gms; Cumin seeds-7 gms; Chillies-4 gms; CORIANDER LEAVES-15 gms; Soya Granules-150 gms
