recipe_id,ingredient_number,ingredient_name,quantity,category
RCP00001,1,Onion,1 medium,Vegetables
RCP00001,2,Garlic,6 cloves,Vegetables
RCP00001,3,Salt,to taste,Others
RCP00001,4,Shrimp,933g,Proteins
RCP00001,5,Chicken,4 tbsp,Proteins
RCP00001,6,Oil,1 tbsp,Liquids
RCP00001,7,Wheat Flour,299 g,Grains
RCP00001,8,Sugar,2 tbsp,Others
RCP00001,9,Mustard Seeds,4 tbsp,Others
RCP00001,10,Mutton,4 tbsp,Proteins
RCP00001,11,Fenugreek Leaves,4 tbsp,Aromatics
RCP00002,1,Onion,3 medium,Vegetables
RCP00002,2,Garlic,3 cloves,Vegetables
RCP00002,3,Salt,to taste,Others
RCP00002,4,Paneer,752g,Proteins
RCP00002,5,Shrimp,1 tbsp,Proteins
RCP00002,6,Chickpea Flour,259 g,Grains
RCP00002,7,Butter,229 ml,Dairy
RCP00003,1,Onion,2 medium,Vegetables
RCP00003,2,Garlic,8 cloves,Vegetables
RCP00003,3,Salt,to taste,Others
RCP00003,4,Paneer,333g,Proteins
RCP00003,5,Mint Leaves,2 tbsp,Aromatics
RCP00003,6,Spinach,2 medium,Vegetables
RCP00003,7,Potato,2 medium,Vegetables
RCP00003,8,Carrot,1 medium,Vegetables
RCP00004,1,Onion,3 medium,Vegetables
RCP00004,2,Garlic,4 cloves,Vegetables
RCP00004,3,Salt,to taste,Others
RCP00004,4,Chickpeas,269g,Proteins
RCP00004,5,All-Purpose Flour,293 g,Grains
RCP00004,6,All-Purpose Flour,474 g,Grains
RCP00004,7,Eggs,4 tbsp,Proteins
RCP00004,8,Vinegar,1 tbsp,Liquids
RCP00005,1,Onion,2 medium,Vegetables
RCP00005,2,Garlic,8 cloves,Vegetables
RCP00005,3,Salt,to taste,Others
RCP00005,4,Fish,863g,Proteins
RCP00005,5,Mutton,3 tbsp,Proteins
RCP00005,6,Beef,2 tbsp,Proteins
RCP00005,7,Bay Leaf,1 tsp,Spices
RCP00005,8,Ghee,133 ml,Dairy
RCP00005,9,Raisins,4 tbsp,Others
RCP00005,10,Ginger,1 medium,Vegetables
RCP00005,11,Water,3 tbsp,Liquids
RCP00005,12,Fenugreek Leaves,2 tbsp,Aromatics
RCP00006,1,Onion,3 medium,Vegetables
RCP00006,2,Garlic,7 cloves,Vegetables
RCP00006,3,Salt,to taste,Others
RCP00006,4,Mutton,437g,Proteins
RCP00006,5,Wheat Flour,482 g,Grains
RCP00006,6,Beef,3 tbsp,Proteins
RCP00006,7,Potato,2 medium,Vegetables
RCP00006,8,Tofu,3 tbsp,Proteins
RCP00006,9,Basmati Rice,373 g,Grains
RCP00006,10,Ginger,2 medium,Vegetables
RCP00006,11,Wheat Flour,492 g,Grains
RCP00006,12,Cashews,3 tbsp,Others
RCP00007,1,Onion,3 medium,Vegetables
RCP00007,2,Garlic,4 cloves,Vegetables
RCP00007,3,Salt,to taste,Others
RCP00007,4,Tofu,412g,Proteins
RCP00007,5,Chicken,4 tbsp,Proteins
RCP00007,6,Tomato,1 medium,Vegetables
RCP00007,7,Mutton,1 tbsp,Proteins
