recipe_id,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent
RCP00001,500,45,54,28,10,18,691,83,9,30,10,39
RCP00002,264,43,78,21,13,11,435,10,15,49,23,30
RCP00003,596,24,42,30,4,13,1268,64,19,27,15,19
RCP00004,522,13,34,27,7,8,1311,3,17,42,28,21
RCP00005,277,32,33,16,3,6,1475,55,12,34,20,27
RCP00006,750,24,48,37,6,9,430,55,16,29,29,31
RCP00007,744,28,40,17,2,12,995,17,34,31,11,39
RCP00008,491,22,78,25,5,15,779,59,34,34,17,30
RCP00009,347,31,57,19,14,15,1267,58,24,24,20,31
RCP00010,774,44,36,34,11,6,447,93,24,48,9,11
RCP00011,701,45,44,22,4,16,619,66,32,14,18,29
RCP00012,540,46,78,37,14,5,582,38,17,48,23,26
RCP00013,384,37,64,30,12,7,893,56,11,20,10,24
RCP00014,408,37,55,31,2,11,1409,0,37,41,20,19
RCP00015,226,41,40,32,11,14,419,20,30,37,10,34
RCP00016,304,33,34,19,10,13,382,65,14,49,20,23
RCP00017,703,37,48,21,6,5,987,51,23,7,23,24
RCP00018,377,49,42,26,8,15,1306,75,32,22,18,35
RCP00019,205,18,53,24,9,9,587,27,31,25,14,27
RCP00020,391,46,76,24,14,18,599,79,20,55,24,38
RCP00021,447,20,33,16,6,6,1383,71,38,22,26,11
RCP00022,494,21,47,24,12,11,1320,4,12,14,13,15
RCP00023,331,9,64,10,2,12,318,29,36,5,29,10
RCP00024,624,15,39,12,2,17,235,98,8,16,19,25
RCP00025,282,10,31,23,10,18,1188,35,11,26,12,24
RCP00026,694,23,46,31,12,13,1270,14,28,59,6,14
RCP00027,429,17,54,13,8,5,514,69,32,57,22,34
RCP00028,333,24,32,19,5,12,930,54,9,48,26,24
RCP00029,663,29,69,30,3,10,1454,96,29,48,13,30
RCP00030,465,16,39,13,5,2,1203,0,37,35,19,11
RCP00031,704,45,74,38,4,16,1137,83,21,46,16,37
RCP00032,574,17,37,20,3,18,204,14,17,31,12,35
RCP00033,669,27,55,32,5,3,1279,22,5,37,16,24
RCP00034,642,5,50,23,10,2,1211,9,29,46,5,35
RCP00035,235,12,75,29,10,19,613,46,12,58,25,15
RCP00036,514,18,39,22,9,12,295,73,9,25,14,39
RCP00037,638,41,41,22,6,10,1082,59,38,42,10,14
RCP00038,659,5,58,19,8,10,860,31,18,42,9,34
RCP00039,345,32,58,27,2,17,1463,46,30,13,10,32
RCP00040,244,32,49,33,9,17,1024,5,20,6,14,31
RCP00041,793,32,69,30,3,10,642,76,37,40,13,30
