recipe_id,recipe_name,cuisine,category,cooking_method,difficulty,prep_time_minutes,cook_time_minutes,total_time_minutes,servings,spice_level,meal_type,is_vegetarian,is_vegan,is_gluten_free,is_halal,rating,review_count,calories_per_serving,estimated_cost_usd,date_added,is_traditional,is_festival_special
RCP00001,Sajji,Pakistani,Main Course,Baked,Medium,43,129,172,7,Mild,Dinner,False,False,False,True,3.6,2070,500,9.2,2024-12-02,False,True
RCP00002,Dal Makhani,Pakistani,Main Course,Grilled,Easy,26,115,141,2,Medium,Dessert,False,False,False,True,4.1,326,264,10.79,2023-12-02,True,False
RCP00003,Aloo Gosht,Pakistani,Main Course,Fried,Easy,43,16,59,4,Mild,Beverage,False,False,False,True,4.7,4701,596,6.45,2023-05-30,False,False
RCP00004,Sindhi Biryani,Pakistani,Main Course,Roasted,Easy,33,120,153,7,Medium,Lunch,True,False,False,True,4.0,3963,522,9.06,2026-02-01,True,False
RCP00005,Haleem,Pakistani,Main Course,Grilled,Hard,42,179,221,6,Mild,Dinner,False,False,False,True,4.9,4312,277,13.48,2024-08-10,False,False
RCP00006,Sajji,Pakistani,Main Course,Steamed,Hard,59,131,190,7,Mild,Dinner,False,False,False,True,3.5,3372,750,10.44,2025-01-02,True,False
RCP00007,Chicken Tikka,Pakistani,Main Course,Fried,Easy,52,135,187,3,Medium,Breakfast,False,False,False,True,4.0,2462,744,13.66,2024-09-21,False,True
RCP00008,Chicken Tikka,Pakistani,Main Course,Pressure-cooked,Easy,21,36,57,6,Very Hot,Beverage,False,False,False,True,3.8,1041,491,11.48,2025-01-26,False,False
RCP00009,Paya,Pakistani,Main Course,Pressure-cooked,Easy,53,158,211,6,Mild,Dinner,False,False,False,True,4.0,4156,347,9.67,2023-08-17,True,True
RCP00010,Aloo Gosht,Pakistani,Main Course,Steamed,Easy,21,139,160,5,Medium,Dessert,False,False,False,True,4.1,3488,774,14.03,2026-02-12,False,False
RCP00011,Palak Paneer,Pakistani,Main Course,Slow-cooked,Medium,29,67,96,4,Medium,Snack,False,False,False,True,4.6,1236,701,16.89,2024-07-09,True,False
RCP00012,Sindhi Biryani,Pakistani,Main Course,Grilled,Medium,18,117,135,5,Medium,Dinner,False,False,False,True,3.8,2838,540,5.25,2023-03-23,True,True
RCP00013,Nihari,Pakistani,Main Course,Boiled,Easy,16,138,154,6,Medium,Beverage,False,False,False,True,4.8,2914,384,20.81,2024-02-05,True,False
RCP00014,Pakistani Main Course Special 14,Pakistani,Main Course,Steamed,Easy,28,141,169,4,Very Hot,Beverage,False,True,True,True,3.7,1640,408,21.41,2025-09-05,True,False
RCP00015,Haleem,Pakistani,Main Course,Grilled,Easy,38,47,85,2,Medium,Breakfast,False,False,False,True,3.6,678,226,21.44,2023-03-06,True,False
RCP00016,Chicken Tikka,Pakistani,Main Course,Fried,Easy,20,131,151,4,Medium,Beverage,False,False,False,True,4.9,1712,304,3.18,2025-09-05,False,False
RCP00017,Chicken Tikka,Pakistani,Main Course,Boiled,Hard,18,81,99,5,Medium,Snack,False,False,False,True,5.0,4099,703,20.5,2023-07-15,True,True
RCP00018,Chicken Tikka,Pakistani,Main Course,Boiled,Medium,17,62,79,7,Hot,Breakfast,False,False,False,True,3.9,4786,377,14.28,2024-06-30,True,False
RCP00019,Sajji,Pakistani,Main Course,Roasted,Medium,59,88,147,5,Mild,Lunch,True,False,True,True,4.4,1239,205,7.57,2026-01-25,True,False
RCP00020,Chicken Tikka,Pakistani,Main Course,Fried,Hard,25,66,91,4,Medium,Beverage,False,False,False,True,3.7,3849,391,23.82,2024-03-22,True,False
RCP00021,Paya,Pakistani,Main Course,Pressure-cooked,Easy,36,28,64,5,Hot,Beverage,False,False,False,True,4.6,1279,447,3.43,2025-06-05,False,True
RCP00022,Karahi,Pakistani,Main Course,Boiled,Easy,40,112,152,4,Hot,Lunch,False,False,False,True,4.1,493,494,4.16,2025-12-10,False,True
RCP00023,Pakistani Main Course Special 23,Pakistani,Main Course,Grilled,Hard,24,81,105,3,Mild,Lunch,True,False,False,True,3.7,4996,331,12.15,2025-01-30,True,False
RCP00024,Karahi,Pakistani,Main Course,Baked,Medium,14,108,122,3,Hot,Snack,True,False,True,True,4.7,3804,624,21.65,2023-08-30,False,False
RCP00025,Lahori Chargha,Pakistani,Main Course,Pressure-cooked,Easy,55,65,120,6,Medium,Dinner,True,False,False,True,4.4,4633,282,22.99,2024-01-26,True,False
RCP00026,Palak Paneer,Pakistani,Main Course,Boiled,Hard,13,134,147,5,Medium,Breakfast,False,False,True,True,3.8,1694,694,3.41,2025-01-26,True,False
RCP00027,Pakistani Main Course Special 27,Pakistani,Main Course,Steamed,Medium,42,25,67,4,Medium,Beverage,True,False,True,True,5.0,1756,429,10.74,2024-08-07,True,False
RCP00028,Nihari,Pakistani,Main Course,Slow-cooked,Medium,17,21,38,5,Very Hot,Snack,False,False,False,True,4.3,133,333,15.26,2024-03-11,True,False
RCP00029,Biryani,Pakistani,Main Course,Roasted,Easy,38,139,177,7,Medium,Beverage,False,False,False,True,3.9,3368,663,23.94,2024-05-11,True,False
RCP00030,Sajji,Pakistani,Main Course,Roasted,Medium,23,108,131,5,Hot,Breakfast,True,True,False,True,4.4,4613,465,22.8,2024-01-16,False,False
RCP00031,Sindhi Biryani,Pakistani,Main Course,Grilled,Medium,48,120,168,7,Mild,Snack,False,False,True,True,3.8,1787,704,20.64,2024-11-11,True,False
RCP00032,Sindhi Biryani,Pakistani,Main Course,Slow-cooked,Medium,16,89,105,4,Medium,Breakfast,True,False,False,True,3.8,1595,574,13.75,2026-02-07,True,False
RCP00033,Nihari,Pakistani,Main Course,Grilled,Medium,49,100,149,6,Medium,Lunch,False,False,False,True,3.9,1082,669,12.89,2026-02-13,False,False
RCP00034,Dal Makhani,Pakistani,Main Course,Fried,Medium,55,168,223,5,Hot,Snack,True,False,False,True,4.3,3398,642,20.22,2024-06-18,False,False
RCP00035,Paya,Pakistani,Main Course,Boiled,Hard,32,162,194,5,Hot,Breakfast,True,False,True,True,3.9,3784,235,4.15,2023-07-10,True,False
RCP00036,Karahi,Pakistani,Main Course,Roasted,Medium,13,57,70,4,Hot,Snack,True,False,True,True,3.6,597,514,2.71,2024-09-07,True,True
RCP00037,Aloo Gosht,Pakistani,Main Course,Steamed,Hard,29,80,109,6,Hot,Breakfast,False,False,False,True,4.5,3579,638,21.35,2023-10-10,False,False
RCP00038,Pakistani Main Course Special 38,Pakistani,Main Course,Baked,Medium,18,154,172,7,Mild,Beverage,True,False,False,True,4.1,953,659,24.53,2025-11-11,True,True
RCP00039,Dal Makhani,Pakistani,Main Course,Slow-cooked,Easy,48,167,215,7,Medium,Dessert,False,False,False,True,4.4,1394,345,3.39,2024-01-25,False,False
RCP00040,Biryani,Pakistani,Main Course,Grilled,Easy,58,165,223,2,Hot,Snack,False,False,False,True,3.8,1463,244,3.51,2023-02-26,True,True
RCP00041,Pakistani Main Course Special 41,Pakistani,Main Course,Baked,Medium,46,56,102,7,Medium,Breakfast,False,False,False,True,4.2,1736,793,3.77,2025-09-19,True,False
RCP00042,Aloo Gosht,Pakistani,Main Course,Fried,Easy,43,18,61,2,Medium,Dessert,False,False,False,True,4.8,4500,798,24.97,2025-10-31,True,False
RCP00043,Sajji,Pakistani,Main Course,Pressure-cooked,Hard,46,53,99,2,Medium,Lunch,False,False,False,True,4.4,3609,328,22.94,2025-11-12,True,False
