code,name,scie,desc
"A001","Amaranth seed, black","Amaranthus cruentus","A. Moricha guti; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag manji Dhala; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu."
"A002","Amaranth seed, pale brown","Amaranthus cruentus","A. Moricha guti; G. Rajagaro; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag maji kale; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu."
"A003","Bajra","Pennisetum typhoideum","A., Kash. Baajra; B. Bajra; E. Pearl millet; G. Bajri; H. Bajra; Kan. Sajje; Kh. Krai; Mal. Kambam; Mar. Bajra; N. Bajara; O. Bajra; P. Bajra; Tam. Kambu; Tel. Sajjalu; U. Bajra."
"A004","Barley","Hordeum vulgare","A. Barli; B. Barley; G. Jav; H. Jau; Kan. Barley; Kash. Wushke; Kh. Krai; Mal. Barley; Mar. Sath; N. Jau; O. Jaba; P. Jao; S. Yava; Tam. Baarli Arisi; Tel. Barley; U. Jau."
"A005","Jowar","Sorghum vulgare","A. Jowar; B. Jowar; E. Sorghum; G. Jowar; H. Jowar; Kan. Jolada; Kash. Pingu; Kh. Krai; Mal. irunku; Mar. Jondhahlaa; O. Janha; P. Javara; Tam. Cholam; Tel. Jonna; U. Jowar."
"A006","Maize, dry","Zea mays","A. Makoi; B. Bhutta; E. Corn; G. Makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Symbai riewhadem stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Sukha makai; O. Maka; P. Chhali; S. Yaavanaala; Tam. Makka Cholam; Tel. Mokkajonna; U. makai."
"A007","Maize, tender, local","Zea mays","A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem Stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. Makai."
"A008","Maize, tender, sweet","Zea mays","A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem lieh; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. makai."
"A009","Quinoa","Chenopodium quinoa",""
"A010","Ragi","Eleusine coracana","A. Ragi; B. Ragi; E. Finger millet; G. Bavato; H. Ragi; Kan. Bhakri; Kh. Ukrai; Mal. Panjapulle; Mar. Bhakri; N. Kodo; O. Mandia; P.  Mandal; S. Madhulika; Tam. Kelvaragu; Tel. Ragi; U. Mandwa."
"A011","Rice, flakes","Oryza sativa","A. Chira, Chiura; B. Chide, Chira; E. Flattened rice, Beaten rice; G. Paunva; H. Poha; Kan. Avalakki; Kash. Chevri; Kh. Shira; Mal. Aval; M. Chengpaak; Mar. Pohe; O. Chudaa, Chuda; P. Chirwre; Tam. Aval; Tel. Atukulu, Attukulu."
"A012","Rice, puffed","Oryza sativa","A. Muri; B. Muri; G. Mamra; H. Muramure; Kan. Kalle Puri; Kash. Tomul; Kh. Muri; Mal. Pori; M. Kabok Mur; Mar. Chirmure; N. Murai; O. Mudhi; P. Phulian; Tam. Pori; Tel. Maramaralu; U. Murmure."
"A013","Rice, raw, brown","Oryza sativa","A. Matia rangar chaul; E. Whole grain rice; G. Kathai chokha; H. Chawal; P. Bhura choul; Kash. Tomul; Kh. Khaw saw; Mal. Kuthari ; M. Cheng; Tam. Arisi; Tel. Dampudu biyyam."
"A014","Rice, parboiled, milled","Oryza sativa","A. Ukhua chaul; B. Siddha chowl; E. Converted rice; G. Bafela Chokha; H. Usna chawal; Kan. Kusubalakki; Kash. Tomul; Kh. Khaw boil; Mal. Puzhungal ari; M. Cheng; Mar. Ukadla tandool; O. Usuna chaula; P. Biga hua chawal; Tam. Puzhungal arisi; Tel. Uppudu biyyam."
"A015","Rice, raw, milled","Oryza sativa","A. Milat khunda chaul; B. Chowl; G. Choka; H. Chawal; Kan. Akki; Kash. Tomul; Kh. Khaw boil; M. Cheng; Mar. Tondool; O. Chaula; P. Chaul; Tam. Arisi; Tel. Biyyam."
"A016","Samai","Panicum sumatrense","B. Sama; E. Little millet; G. Kuri; H. Shavan; Kan. Sama; Kash. Ganuhaar; Mal. Chama; Mar. Sava; O. Suan; P. Swank; Tam. Samai; Tel. Sama."
"A017","Varagu","Setaria italica","A. Konidhan; B. Syama dhan; E. Kodo millet; G. Ral gana; Kan. Priyangu thene; Kash. Snol; Mal. Thina; Mar. Rala; P. Kangni; Tam. Thinai; Tel. Karralu."
"A018","Wheat, flour, refined","Triticum aestivum","A. Moida; B. Maida; G. Maido; H. Maida; Kan. Maida; Kash. Oat; Kh. Moida; Mal. Maida mavu; M. Moida; Mar. Maida; N. Maida; O. Maida; P. Maida; Tam. Maida mavu; Tel. Maida pindi; U. Maida."
"A019","Wheat flour, atta","Triticum aestivum","B. Ata; G. Samagra gha; H. Atta; Kan. Sampurna godhi hittu; Kash. Oat unno lota ghaun no lot; Mal. Godhambu mavu; Mar. Kaneek; O. Gahama atta; P. Atta; Tam. Mulu Godumai maavu; Tel. Sampurna godhuma pindi."
