code,whorda,usear,usrdam,usrdaf,euprim,euprif,ulus,uleu,uljapan
his,-10e-3,,-14e-3,,,,,,
ile,-20e-3,,-19e-3,,,,,,
leu,-39e-3,,-42e-3,,,,,,
lys,-30e-3,,-38e-3,,,,,,
met,-15e-3,,-19e-3,,,,,,
phe,-25e-3,,-33e-3,,,,,,
thr,-15e-3,,-20e-3,,,,,,
trp,-4e-3,,-5e-3,,,,,,
val,-26e-3,,-24e-3,,,,,,
f18d3n3,,,1.6e-3,1.1e-3,2e-3,,,,
f18d2cn6,,,17e-3,12e-3,10e-3,,,,
vita,,625e-6,900e-6,700e-6,,,3000e-6,3000e-6,2700e-6
thia,,1.0e-3,1.2e-3,1.1e-3,,,,,
ribf,,1.1e-3,1.3e-3,1.1e-3,,,,,
nia,,12e-3,16e-3,14e-3,,,35e-3,10e-3,85e-3
pantac,,,5e-3,5e-3,,,,,
vitb6c,,1.1e-3,1.5e-3,1.35e-3,,,100e-3,25e-3,60e-3
biot,,,30e-6,30e-6,,,,,
folsum,,320e-6,400e-6,400e-6,,,1000e-6,1000e-6,1000e-6
vitb12,,2.0e-6,2.4e-6,2.4e-6,,,,,
vitc,,75e-3,90e-3,75e-3,,,2000e-3,,
vitd,,10e-6,15e-6,15e-6,,,100e-6,100e-6,100e-6
vite,,12e-3,15e-3,15e-3,,,1000e-3,300e-3,900e-3
vitk,,,110e-6,120e-6,,,,,
k,,,4700e-3,,4000e-3,,,,3000e-3
cl,,,2300e-3,,,,3600e-3,,
na,,,1500e-3,,,,2300e-3,,3600e-3
ca,,800e-3,1200e-3,,1000e-3,,2500e-3,2500e-3,2500e-3
p,,580e-3,700e-3,,640e-3,,4000e-3,4000e-3,3000e-3
mg,,350e-3,420e-3,,350e-3,,350e-3,250e-3,350e-3
fe,,6e-3,8e-3,18e-3,11e-3,16e-3,45e-3,,45e-3
zn,,9.4e-3,11e-3,,16.3e-3,,40e-3,25e-3,45e-3
mn,,,2.3e-3,,3.0e-3,,11e-3,,11e-3
cu,,0.7e-3,0.9e-3,,1.6e-3,,10e-3,5e-3,10e-3
i,,0.095e-3,0.150e-3,,0.200e-3,,1.1e-3,0.6e-3,3e-3
cr,,,0.035e-3,,,,,,
mo,,0.034e-3,0.045e-3,,0.065-3,,2e-3,0.6e-3,0.55e-3
se,,0.045e-3,0.055e-3,,0.070e-3,,0.4e-3,0.3e-3,0.46e-3
f,,,4e-3,,3.4e-3,,10e-3,7e-3,
choline,,,550e-3,,520e-3,,3500e-3,,
fibtg,,,38,25,,,,,
