code,type,factor,unit
code,string,0,
name,string,0,
scie,string,0,
lang,string,0,
grup,string,0,
regn,integer,1,
tags,string,0,
enerc,energy,1,kJ
water,mass,1,g
ash,mass,1000,mg
vit,mass,1000,mg
fatce,mass,1,g
cholc,mass,1000,mg
fibtg,mass,1,g
choavldf,mass,1,g
protcnt,mass,1,g
amiac,mass,1,g
cartoid,mass,1000,mg
polyph,mass,1000,mg
phystr,mass,1000,mg
tocph,mass,1000000,ug
toctr,mass,1000000,ug
orgac,mass,1000,mg
phytac,mass,1000,mg
sapon,mass,1,g
mnrleq,mass,1000,mg
mnrlet,mass,1000,mg
mnrlpet,mass,1000000,ug
mnrlnet,mass,1000000,ug
mnrltx,mass,1000000000,ng
vita,mass,1000000,ug
vitb,mass,1000,mg
vitc,mass,1000,mg
vitd,mass,1000000,ug
vite,mass,1000000,ug
vitk,mass,1000000,ug
fasat,mass,1,g
fauns,mass,1,g
faess,mass,1,g
facis,mass,1,g
fatrn,mass,1,g
fams,mass,1,g
fapu,mass,1,g
facn3,mass,1000,mg
facn6,mass,1,g
facn9,mass,1,g
facn5,mass,1000,mg
facn7,mass,1000,mg
fibins,mass,1,g
fibsol,mass,1,g
cho,mass,1,g
starch,mass,1,g
olsac,mass,1000,mg
fsugar,mass,1,g
amiace,mass,1,g
amiacce,mass,1,g
amiacne,mass,1,g
retol,mass,1000000,ug
thia,mass,1000000,ug
ribf,mass,1000000,ug
nia,mass,1000,mg
pantac,mass,1000000,ug
vitb6c,mass,1000,mg
biot,mass,1000000,ug
folsum,mass,1000000,ug
ergcal,mass,1000000,ug
chocal,mass,1000000000,ng
doh25,mass,1000000000,ng
tocpha,mass,1000000,ug
tocphb,mass,1000000,ug
tocphg,mass,1000000,ug
tocphd,mass,1000000,ug
toctra,mass,1000000,ug
toctrb,mass,1000000,ug
toctrg,mass,1000000,ug
toctrd,mass,1000000,ug
vitk1,mass,1000000,ug
vitk2,mass,1000000,ug
lutn,mass,1000000,ug
zea,mass,1000000,ug
lycpn,mass,1000000,ug
crypxb,mass,1000000,ug
cartg,mass,1000000,ug
carta,mass,1000000,ug
cartb,mass,1000000,ug
al,mass,1000000,ug
as,mass,1000000,ug
cd,mass,1000000,ug
ca,mass,1000,mg
cr,mass,1000000,ug
co,mass,1000000,ug
cu,mass,1000000,ug
fe,mass,1000,mg
pb,mass,1000000,ug
li,mass,1000000,ug
mg,mass,1000,mg
mn,mass,1000000,ug
hg,mass,1000000000,ng
mo,mass,1000000,ug
ni,mass,1000000,ug
p,mass,1000,mg
k,mass,1000,mg
se,mass,1000000,ug
na,mass,1000,mg
zn,mass,1000000,ug
frus,mass,1,g
glus,mass,1000,mg
sucs,mass,1,g
mals,mass,1000,mg
lactose,mass,1,g
f4d0,mass,1000,mg
f6d0,mass,1000,mg
f8d0,mass,1,g
f10d0,mass,1000,mg
f12d0,mass,1000,mg
f14d0,mass,1000,mg
f16d0,mass,1000,mg
f18d0,mass,1000,mg
f20d0,mass,1000,mg
f22d0,mass,1000,mg
f24d0,mass,1000,mg
f14d1cn5,mass,1000,mg
f16d1cn7,mass,1000,mg
f18d1cn9,mass,1,g
f18d1tn9,mass,1,g
f20d1cn9,mass,1000,mg
f22d1cn9,mass,1,g
f24d1cn9,mass,1000,mg
f18d2cn6,mass,1,g
f20d2n6,mass,1000,mg
f18d3n3,mass,1000,mg
f20d4n6,mass,1000,mg
f11d0,mass,1000000,ug
f15d0,mass,1000,mg
f20d3n6,mass,1000,mg
f20d5n3,mass,1000,mg
f22d6n3,mass,1000,mg
f22d2n6,mass,1000,mg
f22d5n3,mass,1000,mg
his,mass,1000,mg
ile,mass,1000,mg
leu,mass,1000,mg
lys,mass,1000,mg
met,mass,1000,mg
cys,mass,1000,mg
phe,mass,1000,mg
thr,mass,1000,mg
trp,mass,1000,mg
val,mass,1000,mg
ala,mass,1000,mg
arg,mass,1000,mg
asp,mass,1000,mg
glu,mass,1000,mg
gly,mass,1000,mg
pro,mass,1000,mg
ser,mass,1000,mg
tyr,mass,1000,mg
oxalt,mass,1000,mg
oxals,mass,1000,mg
oxali,mass,1000,mg
caconac,mass,1000,mg
citac,mass,1000,mg
fumac,mass,1000,mg
malac,mass,1000,mg
quinac,mass,1000,mg
sucac,mass,1000,mg
tarac,mass,1000,mg
dhbenzac34,mass,1000000,ug
hbenzal3,mass,1000000,ug
pcathac,mass,1000000,ug
vanlac,mass,1000000,ug
gallac,mass,1000,mg
cinmac,mass,1000000,ug
coumaco,mass,1000000,ug
coumacp,mass,1000000,ug
caffac,mass,1000000,ug
chlrac,mass,1000,mg
ferac,mass,1000000,ug
apigen,mass,1000,mg
apigen6cgls,mass,1000000,ug
apigen7onshps,mass,1000,mg
luteol,mass,1000000,ug
kaemf,mass,1000,mg
querce,mass,1000,mg
querce3bdgls,mass,1000,mg
querce3ortns,mass,1000,mg
querce3bgls,mass,1000,mg
isormt,mass,1000,mg
myrct,mass,1000,mg
rsvrtol,mass,1000000,ug
hespt,mass,1000,mg
narng,mass,1000,mg
hespd,mass,1000,mg
daidzn,mass,1000,mg
gnstein,mass,1000,mg
epicatec,mass,1000,mg
epicategc,mass,1000000,ug
epicatgc3gal,mass,1000000,ug
catec,mass,1000,mg
galcatecgal,mass,1000000,ug
galcatec,mass,1000000,ug
syrgac,mass,1000,mg
sinpac,mass,1000,mg
ellgac,mass,1000,mg
rafs,mass,1000,mg
stas,mass,1000,mg
vers,mass,1000,mg
ajgs,mass,1000,mg
camt,mass,1000,mg
stgstr,mass,1000,mg
stostrb,mass,1000,mg
carot,mass,1000000,ug
xantp,mass,1000000,ug
cartbeq,mass,1000000,ug
